,Year,#Issues,#Comments,#Links,#Linktypes,#Projects,%IssuesWithLinks,%CrossProject
Apache,2000,1014926,4608221,255767,16,646,28.5,5.23
Hyperledger,2016,28146,44590,16304,8,32,54.9,4.62
IntelDAOS,2016,9474,32203,2599,11,2,30.8,3.27
JFrog,2006,15535,13152,3229,10,10,28.6,8.24
Jira,2002,274545,779104,99819,16,30,46.7,43.42
JiraEcosystem,2004,41866,68387,11398,14,101,33.0,6.77
MariaDB,2009,31229,0,14618,8,11,44.5,2.54
Mindville,2015,2134,0,44,4,7,4.0,4.55
Mojang,2012,420819,933348,215527,5,8,53.7,5.43
MongoDB,2009,137172,368976,63821,14,27,45.2,19.09
Qt,2005,148579,421771,40105,11,21,30.2,6.92
RedHat,2001,353000,859880,119669,15,241,39.2,23.54
Sakai,2004,50550,180191,19803,8,53,42.4,1.37
SecondLife,2007,1867,15728,631,6,2,39.9,2.38
Sonatype,2008,87284,339127,4465,11,5,7.0,1.5
Spring,2003,69156,186077,14462,7,80,25.6,9.96
