,TotalUsers,Creators,Reporters,Assignees,LinkSetters
Apache,115394,112718,113477,17513,11020
Hyperledger,1805,1638,1643,913,329
IntelDAOS,85,77,77,76,51
JFrog,2713,2677,2664,182,303
Jira,50930,41325,50203,2143,6300
JiraEcosystem,4166,3918,4006,786,760
MariaDB,4229,4216,4220,133,490
Mindville,623,359,617,18,16
Mojang,242589,242506,242240,79,339
MongoDB,7777,7655,7680,646,929
Qt,21386,21189,21173,1347,614
RedHat,17698,17288,17365,2616,2685
Sakai,1584,1441,1462,696,378
SecondLife,341,332,327,95,194
Sonatype,45651,45595,45626,90,1004
Spring,15222,15188,15189,260,121
